No.,Time,Source,Destination,Protocol,Length,Info
1,0.0,157.240.214.60,10.0.2.15,TLS,133,
2,3.553347,157.240.214.60,10.0.2.15,TLS,131,
3,4.45453,157.240.214.60,10.0.2.15,TLS,771,
4,5.082662,10.0.2.15,157.240.214.60,TLS,124,
5,5.085435,10.0.2.15,157.240.214.60,TLS,129,
6,5.11015,10.0.2.15,157.240.214.60,TLS,150,
7,5.184303,10.0.2.15,157.240.214.60,TLS,162,
8,5.253177,10.0.2.15,157.240.214.60,TLS,621,
9,5.281044,157.240.214.60,10.0.2.15,TLS,126,
10,5.283969,157.240.214.60,10.0.2.15,TLS,1060,
11,5.353834,157.240.214.60,10.0.2.15,TLS,266,
12,5.355883,10.0.2.15,157.240.214.60,TLS,118,
13,5.356373,10.0.2.15,157.240.214.60,TLS,224,
14,5.356497,10.0.2.15,157.240.214.60,TLS,529,
15,5.373584,157.240.214.60,10.0.2.15,TLS,149,
16,5.437074,157.240.214.60,10.0.2.15,TLS,225,
17,5.437074,157.240.214.60,10.0.2.15,TLS,1564,
18,5.437074,157.240.214.60,10.0.2.15,TLS,1446,
19,5.438347,10.0.2.15,157.240.214.60,TLS,85,
20,5.439035,157.240.214.60,10.0.2.15,TCP,1446,
21,5.439035,157.240.214.60,10.0.2.15,TCP,1446,
22,5.439035,157.240.214.60,10.0.2.15,TCP,1446,
23,5.439035,157.240.214.60,10.0.2.15,TLS,1248,
24,5.715158,157.240.214.60,10.0.2.15,TLS,133,
25,8.566702,157.240.214.60,10.0.2.15,TLS,131,
26,9.251835,157.240.214.60,10.0.2.15,TLS,755,
27,9.428148,10.0.2.15,157.240.214.60,TLS,317,
28,9.473923,10.0.2.15,157.240.214.60,TLS,150,
29,9.50871,157.240.214.60,10.0.2.15,TLS,89,
30,9.603288,157.240.214.60,10.0.2.15,TLS,380,
31,9.604536,157.240.214.60,10.0.2.15,TLS,1446,
32,9.607208,157.240.214.60,10.0.2.15,TLS,1446,
33,9.607208,157.240.214.60,10.0.2.15,TLS,195,
34,9.610762,157.240.214.60,10.0.2.15,TLS,1446,
35,9.614922,157.240.214.60,10.0.2.15,TLS,1446,
36,9.614922,157.240.214.60,10.0.2.15,TLS,625,
37,9.703088,10.0.2.15,157.240.214.60,TLS,162,
38,9.71439,10.0.2.15,157.240.214.60,TLS,154,
39,9.892524,157.240.214.60,10.0.2.15,TLS,149,
40,11.28858,157.240.214.60,10.0.2.15,TLS,133,
41,11.622709,157.240.214.60,10.0.2.15,TLS,839,
42,11.809157,157.240.214.60,10.0.2.15,TLS,148,
43,11.824924,10.0.2.15,157.240.214.60,TLS,314,
44,11.853763,10.0.2.15,157.240.214.60,TLS,147,
45,11.874221,10.0.2.15,157.240.214.60,TLS,146,
46,11.907913,157.240.214.60,10.0.2.15,TLS,89,
47,11.919237,157.240.214.60,10.0.2.15,TLS,362,
48,11.91982,157.240.214.60,10.0.2.15,TLS,1446,
49,11.921425,157.240.214.60,10.0.2.15,TLS,1446,
50,11.924373,157.240.214.60,10.0.2.15,TLS,1446,
51,11.92499,157.240.214.60,10.0.2.15,TLS,1446,
52,11.930253,157.240.214.60,10.0.2.15,TCP,1446,
53,11.931105,157.240.214.60,10.0.2.15,TLS,433,
54,11.98724,157.240.214.60,10.0.2.15,TLS,149,
55,12.021384,10.0.2.15,157.240.214.60,TLS,148,
56,12.406702,10.0.2.15,157.240.214.60,TLS,93,
57,12.407188,10.0.2.15,157.240.214.60,TLS,78,
58,12.507025,157.240.214.60,10.0.2.15,TLS,78,
59,14.960065,157.240.214.60,10.0.2.15,TLS,131,
60,15.757878,157.240.214.60,10.0.2.15,TLS,771,
61,16.026516,157.240.214.60,10.0.2.15,TLS,195,
62,16.033585,10.0.2.15,157.240.214.60,TLS,315,
63,16.058747,10.0.2.15,157.240.214.60,TLS,150,
64,16.110167,157.240.214.60,10.0.2.15,TLS,89,
65,16.129338,10.0.2.15,157.240.214.60,TLS,154,
66,16.152327,10.0.2.15,157.240.214.60,TLS,162,
67,16.289879,157.240.214.60,10.0.2.15,TLS,328,
68,16.293908,157.240.214.60,10.0.2.15,TLS,1446,
69,16.293908,157.240.214.60,10.0.2.15,TLS,207,
70,16.293908,157.240.214.60,10.0.2.15,TLS,1446,
71,16.293908,157.240.214.60,10.0.2.15,TLS,4967,
72,16.341524,157.240.214.60,10.0.2.15,TLS,149,
73,19.393127,157.240.214.60,10.0.2.15,TLS,133,
74,19.849973,157.240.214.60,10.0.2.15,TLS,193,
75,19.860119,10.0.2.15,157.240.214.60,TLS,152,
76,29.276908,157.240.214.60,10.0.2.15,TLS,839,
77,29.465082,157.240.214.60,10.0.2.15,TLS,148,
78,29.624164,157.240.214.60,10.0.2.15,TLS,133,
79,29.625053,157.240.214.60,10.0.2.15,TLS,149,
80,29.650801,10.0.2.15,157.240.214.60,TLS,315,
81,29.745111,157.240.214.60,10.0.2.15,TLS,174,
82,29.771379,10.0.2.15,157.240.214.60,TLS,147,
83,29.788205,10.0.2.15,157.240.214.60,TLS,146,
84,29.832109,10.0.2.15,157.240.214.60,TLS,148,
85,29.832216,10.0.2.15,157.240.214.60,TLS,149,
86,30.509295,157.240.214.60,10.0.2.15,TLS,89,
87,30.510755,157.240.214.60,10.0.2.15,TLS,329,
88,30.513413,157.240.214.60,10.0.2.15,TLS,1446,
89,30.513413,157.240.214.60,10.0.2.15,TLS,1446,
90,30.517247,157.240.214.60,10.0.2.15,TLS,1446,
91,30.517927,157.240.214.60,10.0.2.15,TCP,1446,
