No.,Time,Source,Destination,Protocol,Length,Info
1,0.0,157.240.214.60,10.0.2.15,TLS,337,
2,0.194708,10.0.2.15,157.240.214.60,TLS,147,
3,1.405752,10.0.2.15,157.240.214.60,TLS,124,
4,3.236703,157.240.214.60,10.0.2.15,TLS,131,
5,3.999251,157.240.214.60,10.0.2.15,TLS,176,
6,4.072472,157.240.214.60,10.0.2.15,TLS,318,
7,4.376058,10.0.2.15,157.240.214.60,TLS,269,
8,4.640933,157.240.214.60,10.0.2.15,TLS,165,
9,4.722366,10.0.2.15,157.240.214.60,TLS,152,
10,4.769813,10.0.2.15,157.240.214.60,TLS,150,
11,4.833739,157.240.214.60,10.0.2.15,TLS,149,
12,4.892585,157.240.214.60,10.0.2.15,TLS,150,
13,5.114117,157.240.214.60,10.0.2.15,TLS,151,
14,5.715728,10.0.2.15,157.240.214.60,TLS,147,
15,5.717014,10.0.2.15,157.240.214.60,TLS,149,
16,5.719967,10.0.2.15,157.240.214.60,TLS,150,
17,5.967745,10.0.2.15,157.240.214.60,TLS,162,
18,6.15762,157.240.214.60,10.0.2.15,TLS,149,
19,7.582515,157.240.214.60,10.0.2.15,TLS,131,
20,7.822494,10.0.2.15,157.240.214.60,TLS,124,
21,8.063753,10.0.2.15,157.240.214.60,TLS,124,
22,8.547655,10.0.2.15,157.240.214.60,TLS,124,
23,8.912212,157.240.214.60,10.0.2.15,TLS,318,
24,9.031308,10.0.2.15,157.240.214.60,TLS,124,
25,9.415527,10.0.2.15,157.240.214.60,TLS,150,
26,9.71791,10.0.2.15,157.240.214.60,TLS,124,
27,9.720482,10.0.2.15,157.240.214.60,TLS,162,
28,9.794265,10.0.2.15,157.240.214.60,TLS,84,
29,9.794893,10.0.2.15,157.240.214.60,TLS,3005,
30,9.910594,157.240.214.60,10.0.2.15,TLS,149,
31,9.990394,10.0.2.15,157.240.214.60,TLS,124,
32,9.991505,157.240.214.60,10.0.2.15,TLS,118,
33,10.453653,10.0.2.15,157.240.214.60,TLS,124,
34,10.913036,157.240.214.60,10.0.2.15,TLS,193,
35,11.027716,157.240.214.60,10.0.2.15,TLS,192,
36,11.304947,10.0.2.15,157.240.214.60,TLS,152,
37,11.36045,10.0.2.15,157.240.214.60,TLS,151,
38,12.525569,157.240.214.60,10.0.2.15,TLS,134,
39,14.527936,157.240.214.60,10.0.2.15,TLS,450,
40,14.546698,10.0.2.15,157.240.214.60,TLS,149,
41,14.562448,10.0.2.15,157.240.214.60,TLS,150,
42,14.562623,10.0.2.15,157.240.214.60,TLS,248,
43,14.562794,10.0.2.15,157.240.214.60,TLS,150,
44,15.813728,157.240.214.60,10.0.2.15,TLS,131,
45,18.062021,10.0.2.15,157.240.214.60,TLS,269,
46,18.338014,157.240.214.60,10.0.2.15,TLS,165,
47,18.522791,157.240.214.60,10.0.2.15,TLS,149,
48,18.555542,10.0.2.15,157.240.214.60,TLS,147,
49,18.609441,157.240.214.60,10.0.2.15,TLS,150,
50,18.70161,10.0.2.15,157.240.214.60,TLS,149,
51,21.083978,157.240.214.60,10.0.2.15,TLS,350,
52,21.578375,10.0.2.15,157.240.214.60,TLS,150,
53,21.820224,10.0.2.15,157.240.214.60,TLS,162,
54,22.012221,157.240.214.60,10.0.2.15,TLS,149,
55,22.372922,157.240.214.60,10.0.2.15,TLS,151,
