No.,Time,Source,Destination,Protocol,Length,Info
1,0.0,157.240.214.60,10.0.2.15,TLS,177,
2,0.035559,10.0.2.15,157.240.214.60,TLS,152,
3,7.425127,157.240.214.60,10.0.2.15,TLS,242,
4,7.485412,10.0.2.15,157.240.214.60,TLS,126,
5,10.192467,157.240.214.60,10.0.2.15,TLS,151,
6,10.220411,10.0.2.15,157.240.214.60,TLS,150,
7,10.388054,10.0.2.15,157.240.214.60,TLS,123,
8,11.950893,157.240.214.60,10.0.2.15,TLS,174,
9,11.953937,10.0.2.15,157.240.214.60,TLS,149,
10,15.375333,157.240.214.60,10.0.2.15,TLS,177,
11,15.380761,157.240.214.60,10.0.2.15,TLS,177,
12,15.421671,10.0.2.15,157.240.214.60,TLS,152,
13,15.433051,10.0.2.15,157.240.214.60,TLS,152,
14,16.120947,10.0.2.15,157.240.214.60,TLS,124,
15,16.308585,157.240.214.60,10.0.2.15,TLS,126,
16,20.263344,10.0.2.15,157.240.214.60,TLS,84,
17,20.265121,10.0.2.15,157.240.214.60,TLS,7354,
18,20.265375,10.0.2.15,157.240.214.60,TLS,5096,
19,20.473708,157.240.214.60,10.0.2.15,TLS,118,
20,21.601813,157.240.214.60,10.0.2.15,TLS,1446,
21,21.601813,157.240.214.60,10.0.2.15,TLS,1049,
22,22.383863,10.0.2.15,157.240.214.60,TLS,150,
23,23.314675,157.240.214.60,10.0.2.15,TLS,174,
24,23.339102,10.0.2.15,157.240.214.60,TLS,149,
25,25.027382,157.240.214.60,10.0.2.15,TLS,193,
26,25.044409,10.0.2.15,157.240.214.60,TLS,152,
27,27.958636,157.240.214.60,10.0.2.15,TLS,192,
28,27.975261,10.0.2.15,157.240.214.60,TLS,151,
29,29.76555,157.240.214.60,10.0.2.15,TLS,1446,
30,29.810992,157.240.214.60,10.0.2.15,TLS,424,
31,29.959959,157.240.214.60,10.0.2.15,TLS,148,
32,30.395707,10.0.2.15,157.240.214.60,TLS,146,
33,30.420829,157.240.214.60,10.0.2.15,TLS,147,
34,30.489836,10.0.2.15,157.240.214.60,TLS,147,
35,30.680134,10.0.2.15,157.240.214.60,TLS,146,
36,30.899299,157.240.214.60,10.0.2.15,TLS,195,
37,30.925583,10.0.2.15,157.240.214.60,TLS,154,
38,32.987863,157.240.214.60,10.0.2.15,TLS,174,
39,32.993172,10.0.2.15,157.240.214.60,TLS,149,
40,35.945569,157.240.214.60,10.0.2.15,TLS,149,
41,35.958908,10.0.2.15,157.240.214.60,TLS,148,
42,36.370275,157.240.214.60,10.0.2.15,TLS,1446,
43,36.370276,157.240.214.60,10.0.2.15,TLS,249,
44,37.02391,10.0.2.15,157.240.214.60,TLS,150,
