No.,Time,Source,Destination,Protocol,Length,Info
1,0.0,157.240.214.60,10.0.2.15,TLS,126,
2,6.770454,157.240.214.60,10.0.2.15,TLS,134,
3,9.313912,157.240.214.60,10.0.2.15,TLS,366,
4,9.795658,10.0.2.15,157.240.214.60,TLS,147,
5,23.550047,10.0.2.15,157.240.214.60,TLS,124,
6,23.738406,157.240.214.60,10.0.2.15,TLS,126,
7,37.825602,157.240.214.60,10.0.2.15,TLS,1446,
8,37.826225,157.240.214.60,10.0.2.15,TLS,175,
9,37.829186,157.240.214.60,10.0.2.15,TLS,1446,
10,37.829187,157.240.214.60,10.0.2.15,TLS,1002,
11,38.023879,157.240.214.60,10.0.2.15,TLS,150,
12,38.026217,157.240.214.60,10.0.2.15,TLS,148,
13,38.382672,10.0.2.15,157.240.214.60,TLS,147,
14,38.404369,10.0.2.15,157.240.214.60,TLS,148,
15,38.488766,10.0.2.15,157.240.214.60,TLS,146,
16,38.822763,157.240.214.60,10.0.2.15,TLS,147,
17,38.827582,10.0.2.15,157.240.214.60,TLS,146,
18,41.17811,10.0.2.15,157.240.214.60,TLS,93,
19,41.257808,157.240.214.60,10.0.2.15,TLS,93,
20,44.55063,157.240.214.60,10.0.2.15,TLS,1431,
21,44.737119,157.240.214.60,10.0.2.15,TLS,150,
22,44.739631,157.240.214.60,10.0.2.15,TLS,148,
23,44.921494,10.0.2.15,157.240.214.60,TLS,147,
24,44.922751,157.240.214.60,10.0.2.15,TLS,147,
25,44.923662,10.0.2.15,157.240.214.60,TLS,148,
26,45.031797,10.0.2.15,157.240.214.60,TLS,146,
27,45.032846,10.0.2.15,157.240.214.60,TLS,146,
28,45.601813,157.240.214.60,10.0.2.15,TLS,1446,
29,45.602798,157.240.214.60,10.0.2.15,TLS,297,
30,45.8177,10.0.2.15,157.240.214.60,TLS,150,
31,45.870003,157.240.214.60,10.0.2.15,TLS,195,
32,45.896275,10.0.2.15,157.240.214.60,TLS,162,
33,45.919388,10.0.2.15,157.240.214.60,TLS,154,
34,46.09023,157.240.214.60,10.0.2.15,TLS,149,
35,50.374017,157.240.214.60,10.0.2.15,TLS,375,
36,50.380353,10.0.2.15,157.240.214.60,TLS,149,
37,50.383231,10.0.2.15,157.240.214.60,TLS,150,
38,50.383362,10.0.2.15,157.240.214.60,TLS,246,
39,57.576167,157.240.214.60,10.0.2.15,TLS,1514,
40,57.618826,157.240.214.60,10.0.2.15,TLS,249,
41,57.850945,157.240.214.60,10.0.2.15,TLS,150,
42,57.852294,157.240.214.60,10.0.2.15,TLS,148,
43,57.918426,157.240.214.60,10.0.2.15,TLS,147,
44,57.945026,10.0.2.15,157.240.214.60,TLS,129,
45,57.950738,10.0.2.15,157.240.214.60,TLS,147,
46,57.979458,157.240.214.60,10.0.2.15,TLS,176,
47,57.979988,10.0.2.15,157.240.214.60,TLS,148,
48,58.029374,10.0.2.15,157.240.214.60,TLS,146,
49,58.029851,10.0.2.15,157.240.214.60,TLS,146,
50,58.057903,10.0.2.15,157.240.214.60,TLS,152,
51,58.135595,157.240.214.60,10.0.2.15,TLS,1060,
52,64.009354,157.240.214.60,10.0.2.15,TLS,1446,
53,64.011125,157.240.214.60,10.0.2.15,TLS,175,
54,64.011125,157.240.214.60,10.0.2.15,TLS,1446,
55,64.0145,157.240.214.60,10.0.2.15,TLS,838,
56,64.260076,10.0.2.15,157.240.214.60,TLS,150,
57,64.445108,10.0.2.15,157.240.214.60,TLS,162,
58,64.500049,157.240.214.60,10.0.2.15,TLS,195,
59,64.553667,10.0.2.15,157.240.214.60,TLS,154,
60,64.633449,157.240.214.60,10.0.2.15,TLS,149,
61,72.938884,157.240.214.60,10.0.2.15,TLS,114,
62,75.683983,157.240.214.60,10.0.2.15,TLS,1446,
63,75.68474,157.240.214.60,10.0.2.15,TLS,397,
64,75.873407,157.240.214.60,10.0.2.15,TLS,148,
65,75.874885,157.240.214.60,10.0.2.15,TLS,150,
66,75.970997,157.240.214.60,10.0.2.15,TLS,147,
67,76.049634,10.0.2.15,157.240.214.60,TLS,147,
68,76.050878,10.0.2.15,157.240.214.60,TLS,146,
69,76.112232,10.0.2.15,157.240.214.60,TLS,148,
70,76.112829,10.0.2.15,157.240.214.60,TLS,146,
71,76.256926,157.240.214.60,10.0.2.15,TLS,1446,
72,76.258655,157.240.214.60,10.0.2.15,TLS,112,
73,76.263195,157.240.214.60,10.0.2.15,TLS,163,
74,76.454243,157.240.214.60,10.0.2.15,TLS,150,
75,76.455574,157.240.214.60,10.0.2.15,TLS,148,
76,76.46712,10.0.2.15,157.240.214.60,TLS,147,
77,76.501944,10.0.2.15,157.240.214.60,TLS,148,
78,76.5635,157.240.214.60,10.0.2.15,TLS,1446,
79,76.563501,157.240.214.60,10.0.2.15,TLS,349,
80,76.570193,10.0.2.15,157.240.214.60,TLS,146,
81,76.583232,157.240.214.60,10.0.2.15,TLS,147,
82,76.603188,10.0.2.15,157.240.214.60,TLS,146,
83,76.819832,157.240.214.60,10.0.2.15,TLS,148,
84,76.917851,157.240.214.60,10.0.2.15,TLS,2413,
85,76.94529,10.0.2.15,157.240.214.60,TLS,147,
86,76.950613,10.0.2.15,157.240.214.60,TLS,146,
87,76.963725,157.240.214.60,10.0.2.15,TLS,150,
88,77.060732,10.0.2.15,157.240.214.60,TLS,148,
