No.,Time,Source,Destination,Protocol,Length,Info
1,0.0,157.240.214.60,10.0.2.15,TLS,333,
2,0.076057,10.0.2.15,157.240.214.60,TLS,126,
3,2.551821,157.240.214.60,10.0.2.15,TLS,1446,
4,2.553503,157.240.214.60,10.0.2.15,TLS,115,
5,2.877893,157.240.214.60,10.0.2.15,TLS,195,
6,3.092424,10.0.2.15,157.240.214.60,TLS,154,
7,3.157265,10.0.2.15,157.240.214.60,TLS,150,
8,7.620567,10.0.2.15,157.240.214.60,TLS,123,
9,10.765246,10.0.2.15,157.240.214.60,TLS,124,
10,10.954698,157.240.214.60,10.0.2.15,TLS,126,
11,16.810155,157.240.214.60,10.0.2.15,TLS,1395,
12,19.082854,10.0.2.15,157.240.214.60,TLS,150,
13,23.015183,10.0.2.15,157.240.214.60,TLS,123,
14,30.268961,157.240.214.60,10.0.2.15,TLS,1446,
15,30.270693,157.240.214.60,10.0.2.15,TLS,265,
16,32.51918,10.0.2.15,157.240.214.60,TLS,150,
17,33.217644,157.240.214.60,10.0.2.15,TLS,1446,
18,33.218097,157.240.214.60,10.0.2.15,TLS,150,
19,33.380811,10.0.2.15,157.240.214.60,TLS,124,
20,33.483324,157.240.214.60,10.0.2.15,TLS,148,
21,33.488227,10.0.2.15,157.240.214.60,TLS,146,
22,33.554522,157.240.214.60,10.0.2.15,TLS,147,
23,33.55774,10.0.2.15,157.240.214.60,TLS,146,
24,33.570152,157.240.214.60,10.0.2.15,TLS,126,
25,34.97659,10.0.2.15,157.240.214.60,TLS,123,
26,35.484339,10.0.2.15,157.240.214.60,TLS,147,
27,35.4899,10.0.2.15,157.240.214.60,TLS,191,
28,35.68035,157.240.214.60,10.0.2.15,TLS,149,
29,42.899667,157.240.214.60,10.0.2.15,TLS,149,
30,42.921009,10.0.2.15,157.240.214.60,TLS,148,
31,42.938026,157.240.214.60,10.0.2.15,TLS,1446,
32,42.938444,157.240.214.60,10.0.2.15,TLS,297,
33,43.214657,10.0.2.15,157.240.214.60,TLS,150,
34,43.490356,10.0.2.15,157.240.214.60,TLS,162,
35,43.686097,157.240.214.60,10.0.2.15,TLS,149,
36,45.813168,157.240.214.60,10.0.2.15,TLS,114,
37,46.556708,157.240.214.60,10.0.2.15,TLS,1446,
38,46.557578,157.240.214.60,10.0.2.15,TLS,134,
39,46.768183,157.240.214.60,10.0.2.15,TLS,148,
40,46.872532,10.0.2.15,157.240.214.60,TLS,146,
41,47.096429,10.0.2.15,157.240.214.60,TLS,147,
42,47.206588,157.240.214.60,10.0.2.15,TLS,147,
43,47.372833,10.0.2.15,157.240.214.60,TLS,146,
44,51.937013,157.240.214.60,10.0.2.15,TLS,151,
45,51.949452,10.0.2.15,157.240.214.60,TLS,149,
46,60.01143,157.240.214.60,10.0.2.15,TLS,1446,
47,60.011845,157.240.214.60,10.0.2.15,TLS,99,
48,60.050907,157.240.214.60,10.0.2.15,TLS,149,
49,60.191383,10.0.2.15,157.240.214.60,TLS,148,
50,60.259988,157.240.214.60,10.0.2.15,TLS,1446,
51,60.261401,157.240.214.60,10.0.2.15,TLS,102,
52,60.447759,10.0.2.15,157.240.214.60,TLS,150,
53,60.530962,157.240.214.60,10.0.2.15,TLS,149,
54,60.576932,10.0.2.15,157.240.214.60,TLS,148,
55,60.581618,10.0.2.15,157.240.214.60,TLS,162,
56,60.771818,157.240.214.60,10.0.2.15,TLS,149,
57,60.851738,10.0.2.15,157.240.214.60,TLS,147,
58,62.279405,157.240.214.60,10.0.2.15,TLS,148,
59,62.286362,10.0.2.15,157.240.214.60,TLS,146,
60,68.467132,157.240.214.60,10.0.2.15,TLS,116,
